"Activate / deactivate the elefunds module.", "Aktiviert oder deaktiviert das elefunds Modul."
"Client ID", "Kundennummer"
"API Key", "API Schlüssel"
"Theme", "Thema"
"Select a base theme for the elefunds donation module.", "Wählen Sie ein Thema für das elefunds Modul aus."
"Color", "Farbe"
"Select a color for the elefunds donation module.", "Wählen Sie eine Farbe für das elefunds Modul aus."
"Excluded payment methods", "Ausgeschlossene Zahlungsmöglichkeiten"
"Elefunds won't be displayed in the selected payment methods.", "Elefunds wird bei den ausgewählten Zahlungsmöglichkeiten nicht angezeigt."
"Welcome to elefunds!","<br /><div class='box'><h2>Herzlich Willkommen,</h2><br /><p>Um das Plugin aktivieren und in Betrieb nehmen zu können, müssen Sie Ihre Anmeldung abschließen:</p><br /><p><a target='_blank' href='https://elefunds.de/produkt/anmeldung'>Zur Anmeldung</a></p><br /><p>Gleich kann es losgehen!</p><br /><p><b>Vielen Dank für Ihr Engagement.</b></p><br /><p>Hinweis für Entwickler und Administratoren:</p><br /><p>Wenn Sie das Plugin unverbindlich in einem Demoshop testen möchten, schauen Sie doch in unsere <a href='http://elefunds.github.com/elefunds-SDK'>Software Dokumentation</a>. In unserem <a href='https://github.com/elefunds/elefunds-SDK/blob/master/Documentation/API/GettingStarted.md#prerequisites'>Getting Started Guide</a> finden Sie Zugangsdaten, die Sie zu Testzwecken nutzen könnten.</p></div>"
"Uses one step checkout?", "One Step Checkout installiert?"
"Set to yes, if your shop uses the module from onestepcheckout.com.", "Aktivieren Sie diese Option, wenn Sie das Modul von onestepcheckout.com installiert haben und nutzen."
"Banner position", "Banner Position"
"Choose where to position the module relative to the article listing.", "Bestimmen Sie die Position des Moduls relativ zur Artikelzusammenfassung."
"Top", "Oberhalb"
"Bottom", "Unterhalb"